,class,count,sum,aspect,elevation_below,year,percent_snow_cover,km2_snow,km2_all
71,0_1600,7916,0,0,1600,2017,0.0,0.0,79.16000000000001
72,0_3900,0,0,0,3900,2017,,0.0,0.0
73,135_3200,775,159,135,3200,2017,0.2051612903225806,1.5900000000000003,7.750000000000002
74,270_1600,6992,0,270,1600,2017,0.0,0.0,69.92000000000002
75,90_1700,6826,0,90,1700,2017,0.0,0.0,68.26000000000002
76,0_3100,1406,439,0,3100,2017,0.3122332859174964,4.390000000000001,14.060000000000002
77,270_3900,0,0,270,3900,2017,,0.0,0.0
78,90_3200,897,252,90,3200,2017,0.2809364548494983,2.5200000000000005,8.970000000000002
79,315_3700,5,4,315,3700,2017,0.8,0.04,0.05
80,225_2300,4678,1,225,2300,2017,0.0002137665669089,0.01,46.78000000000001
81,270_3100,1147,209,270,3100,2017,0.1822144725370532,2.0900000000000003,11.470000000000002
82,225_1800,5458,0,225,1800,2017,0.0,0.0,54.58000000000001
83,45_2600,4047,41,45,2600,2017,0.0101309612058314,0.4100000000000001,40.470000000000006
84,0_2600,4177,34,0,2600,2017,0.0081398132631074,0.3400000000000001,41.77000000000001
85,180_3500,59,17,180,3500,2017,0.288135593220339,0.17,0.5900000000000001
86,135_2700,3038,11,135,2700,2017,0.0036208031599736,0.11,30.38000000000001
87,90_2900,2018,60,90,2900,2017,0.0297324083250743,0.6000000000000001,20.180000000000003
88,270_2600,4549,19,270,2600,2017,0.0041767421411299,0.19,45.49000000000001
89,90_2100,6391,1,90,2100,2017,0.0001564700359881,0.01,63.91000000000001
90,315_2400,5516,4,315,2400,2017,0.0007251631617113,0.04,55.16000000000001
91,225_3300,369,49,225,3300,2017,0.1327913279132791,0.4900000000000001,3.690000000000001
92,45_3700,2,1,45,3700,2017,0.5,0.01,0.02
93,0_1500,65981,0,0,1500,2017,0.0,0.0,659.8100000000002
94,180_2400,4275,4,180,2400,2017,0.0009356725146198,0.04,42.75000000000001
95,135_3900,0,0,135,3900,2017,,0.0,0.0
96,135_1600,7489,0,135,1600,2017,0.0,0.0,74.89000000000001
97,0_3800,0,0,0,3800,2017,,0.0,0.0
98,135_3100,1097,164,135,3100,2017,0.1494986326344576,1.6400000000000003,10.970000000000002
99,90_1800,6895,0,90,1800,2017,0.0,0.0,68.95000000000002
100,270_1500,50205,0,270,1500,2017,0.0,0.0,502.0500000000001
101,270_3800,3,3,270,3800,2017,1.0,0.03,0.03
